grid_id,grid_lat,grid_lon,date,fire_count,index,historical_mean,historical_std,history_days,threshold,z_score,is_anomaly
82_422,20.5,105.5,2024-12-31,0,73,0.31708652792990144,1.0324613231214492,1826,3.414470497294249,-0.3071171004946229,False
82_424,20.5,106.0,2024-12-31,0,74,0.016976998904709748,0.15610623891063455,1826,0.4852957156366134,-0.10875285333361016,False
82_426,20.5,106.5,2024-12-31,0,75,0.012048192771084338,0.1276444972420832,1826,0.39498168449733395,-0.09438865780664582,False
84_416,21.0,104.0,2024-12-31,0,77,0.816538882803943,2.987236825181454,1826,9.778249358348305,-0.2733425337826518,False
84_418,21.0,104.5,2024-12-31,0,78,0.14403066812705367,0.5991409074701514,1826,1.9414533905375078,-0.24039531657956295,False
84_424,21.0,106.0,2024-12-31,0,81,0.359802847754655,1.1960229825585804,1826,3.9478717954303963,-0.3008327206095574,False
84_426,21.0,106.5,2024-12-31,10,82,1.9605695509309966,3.324888380671918,1826,11.93523469294675,2.4179549893474426,False
86_414,21.5,103.5,2024-12-31,0,85,0.5553121577217963,2.2926820415400067,1826,7.433358282341817,-0.2422107155115108,False
86_420,21.5,105.0,2024-12-31,0,88,0.16812705366922234,0.7027870132837549,1826,2.2764880935204874,-0.23922902741707314,False
86_426,21.5,106.5,2024-12-31,2,91,0.35213581599123767,1.7208753220807849,1826,5.514761782233593,0.9575732552293552,False
86_430,21.5,107.5,2024-12-31,0,93,0.33461117196056955,1.5228942477486103,1826,4.903293915206401,-0.2197205567328435,False
88_416,22.0,104.0,2024-12-31,0,96,0.0728368017524644,0.5614622325296847,1826,1.7572234993415186,-0.12972698345941458,False
88_422,22.0,105.5,2024-12-31,0,99,0.2836801752464403,1.216564592528101,1826,3.933373952830743,-0.2331813509851822,False
88_424,22.0,106.0,2024-12-31,0,100,0.5175246440306681,2.670174096359972,1826,8.528046933110584,-0.1938168169394523,False
90_410,22.5,102.5,2024-12-31,0,102,1.0372398685651698,4.951682580446774,1826,15.892287609905491,-0.20947220499573765,False
90_412,22.5,103.0,2024-12-31,0,103,0.39813800657174153,1.5747239234831996,1826,5.12230977702134,-0.25283035371119716,False
90_414,22.5,103.5,2024-12-31,0,104,0.1768893756845564,0.8701644409713011,1826,2.7873826985984596,-0.20328269848295305,False
90_418,22.5,104.5,2024-12-31,0,106,0.07119386637458927,0.4139649891696736,1826,1.31308883388361,-0.1719804047134255,False
90_420,22.5,105.0,2024-12-31,0,107,0.2897042716319825,1.291859961091819,1826,4.1652841549074395,-0.22425361908974878,False
90_422,22.5,105.5,2024-12-31,0,108,0.296276013143483,2.089073292207182,1826,6.563495889765029,-0.14182174184537902,False
90_426,22.5,106.5,2024-12-31,1,110,0.03723986856516977,0.29374081291381793,1826,0.9184623073066236,3.2775838055479856,True
92_422,23.0,105.5,2024-12-31,0,112,0.07393209200438117,0.4194054288419992,1826,1.3321483785303787,-0.17627833814290775,False
